systime,op_mode,rpm,temp,pitch_angle,motor_dir,motor_dc
4556,0,-8.14,21.62,90.00,0,0
5333,0,-7.73,21.68,90.00,0,0
6109,0,-8.54,21.69,90.00,0,0
9315,0,-13.02,21.68,90.00,0,0
10006,0,-10.58,21.77,90.00,0,0
10673,0,-12.21,21.91,90.00,0,0
11375,0,-10.17,21.95,90.00,0,0
12804,0,-8.95,21.87,90.00,0,0
13659,0,-7.73,21.81,90.00,0,0
14528,0,-10.99,21.80,90.00,0,0
15407,0,-9.36,21.91,90.00,0,0
16302,0,-7.73,21.83,90.00,0,0
17206,0,-7.73,21.87,90.00,0,0
18124,0,-13.43,21.87,90.00,0,0
19056,0,-10.17,21.91,90.00,0,0
19999,0,-5.70,22.06,90.00,0,0
20961,0,-4.48,22.04,90.00,0,0
24685,0,-16.68,21.88,90.00,0,0
25502,0,-16.28,21.96,90.00,0,0
26332,0,-9.36,21.96,90.00,0,0
27178,0,-12.61,21.93,90.00,0,0
28029,0,-11.39,21.87,90.00,0,0
28891,0,-9.77,21.88,90.00,0,0
29777,0,-5.29,21.84,90.00,0,0
30684,0,-4.07,21.80,90.00,0,0
31621,0,-6.10,21.93,90.00,0,0
32572,0,-4.48,21.95,90.00,0,0
33524,0,-6.10,21.87,90.00,0,0
34494,0,-8.95,21.92,90.00,0,0
35476,0,-8.95,21.98,90.00,0,0
36464,0,-12.21,21.99,90.00,0,0
37466,0,-12.21,22.10,90.00,0,0
38500,0,-5.70,22.02,90.00,0,0
42477,0,-11.80,21.79,90.00,0,0
43375,0,-12.61,22.04,90.00,0,0
48623,0,0.00,21.84,90.00,0,0
49550,0,0.00,21.98,90.00,0,0
50490,0,2.44,22.06,90.00,0,0
51444,0,3.26,21.95,90.00,0,0
52404,0,0.00,22.11,90.00,0,0
53380,0,-2.44,22.12,90.00,0,0
54394,0,-0.81,22.06,90.00,0,0
55669,0,-1.63,22.21,90.00,0,0
56721,0,-0.41,22.02,90.00,0,0
57791,0,2.44,21.96,90.00,0,0
58868,0,1.63,22.04,90.00,0,0
59962,0,4.07,22.23,90.00,0,0
61063,0,1.63,22.22,90.00,0,0
62169,0,1.22,22.11,90.00,0,0
66218,0,3.66,21.98,90.00,0,0
67193,0,4.07,22.11,90.00,0,0
68186,0,0.81,22.17,90.00,0,0
69190,0,-2.03,22.21,90.00,0,0
70210,0,1.22,22.26,90.00,0,0
71255,0,0.81,22.25,90.00,0,0
72298,0,1.63,22.25,90.00,0,0
73358,0,6.10,22.36,90.00,0,0
74425,0,1.63,22.34,90.00,0,0
75509,0,2.03,22.19,90.00,0,0
