systime,op_mode,rpm,temp,pitch_angle,motor_dir,motor_dc
7715,0,-7.32,25.00,90.00,0,0
8629,0,-6.51,25.01,90.00,0,0
12096,0,-7.32,25.03,90.00,0,0
13041,0,-10.17,25.05,90.00,0,0
14008,0,-8.54,25.05,90.00,0,0
14994,0,-5.29,25.07,90.00,0,0
16035,0,-7.32,25.14,90.00,0,0
17396,0,-6.10,25.11,90.00,0,0
18592,0,-8.54,25.08,90.00,0,0
19834,0,-8.14,25.18,90.00,0,0
21104,0,-3.66,25.12,90.00,0,0
22384,0,-10.58,25.11,90.00,0,0
23701,0,-8.14,25.15,90.00,0,0
25022,0,-10.58,25.09,90.00,0,0
26375,0,-13.83,25.14,90.00,0,0
27961,0,-9.36,25.12,90.00,0,0
29336,0,-9.77,25.14,90.00,0,0
33506,0,-9.36,25.09,90.00,0,0
34782,0,-10.58,25.04,90.00,0,0
36076,0,-10.99,25.09,90.00,0,0
37392,0,-8.14,25.15,90.00,0,0
38718,0,-4.88,25.14,90.00,0,0
40073,0,-9.77,25.15,90.00,0,0
41670,0,-6.92,25.09,90.00,0,0
43071,0,-6.51,25.30,90.00,0,0
44505,0,-6.51,25.15,90.00,0,0
45961,0,-13.83,25.15,90.00,0,0
47442,0,-7.73,25.15,90.00,0,0
48938,0,-4.48,25.26,90.00,0,0
50456,0,-1.22,25.20,90.00,0,0
51991,0,-5.29,25.22,90.00,0,0
53768,0,-8.14,25.16,90.00,0,0
55328,0,-9.36,25.37,90.00,0,0
59854,0,-10.99,25.18,90.00,0,0
61326,0,-10.99,25.27,90.00,0,0
62828,0,-11.39,25.26,90.00,0,0
64349,0,-9.77,25.22,90.00,0,0
65891,0,-5.70,25.11,90.00,0,0
67531,0,-8.14,25.23,90.00,0,0
69029,0,-6.10,25.22,90.00,0,0
70308,0,-10.58,25.34,90.00,0,0
71637,0,-12.21,25.27,90.00,0,0
73002,0,-9.36,25.20,90.00,0,0
74385,0,-8.14,25.22,90.00,0,0
75795,0,-6.10,25.23,90.00,0,0
77228,0,-7.32,25.30,90.00,0,0
78675,0,-7.32,25.20,90.00,0,0
80355,0,-8.95,25.20,90.00,0,0
81822,0,-8.54,25.33,90.00,0,0
86247,0,-8.54,25.26,90.00,0,0
87589,0,-6.51,25.22,90.00,0,0
88979,0,-11.80,25.28,90.00,0,0
90398,0,-14.24,25.35,90.00,0,0
91835,0,-9.77,25.28,90.00,0,0
93306,0,-7.73,25.19,90.00,0,0
95003,0,-8.95,25.28,90.00,0,0
96485,0,-4.07,25.26,90.00,0,0
97989,0,-2.03,25.35,90.00,0,0
99544,0,-10.17,25.28,90.00,0,0
101136,0,-4.88,25.19,90.00,0,0
102752,0,-4.88,25.18,90.00,0,0
104385,0,-7.32,25.39,90.00,0,0
106038,0,-7.32,25.33,90.00,0,0
107935,0,-8.54,25.33,90.00,0,0
109595,0,-6.92,25.42,90.00,0,0
114232,0,-12.61,25.35,90.00,0,0
115797,0,-11.80,25.34,90.00,0,0
117407,0,-12.21,25.39,90.00,0,0
119050,0,-5.29,25.35,90.00,0,0
120711,0,-10.58,25.38,90.00,0,0
122388,0,-9.36,25.43,90.00,0,0
124306,0,-7.32,25.28,90.00,0,0
126006,0,-10.17,25.22,90.00,0,0
127736,0,-4.88,25.33,90.00,0,0
129512,0,-2.85,25.46,90.00,0,0
131320,0,-7.32,25.50,90.00,0,0
133147,0,-12.61,25.39,90.00,0,0
135081,0,-10.58,25.43,90.00,0,0
136654,0,-13.02,25.39,90.00,0,0
138473,0,-5.29,25.42,90.00,0,0
140056,0,-9.36,25.57,90.00,0,0
145765,0,-9.36,25.43,90.00,0,0
147217,0,-7.32,25.38,90.00,0,0
148718,0,-4.48,25.37,90.00,0,0
150254,0,-10.17,25.42,90.00,0,0
152377,0,-8.54,25.38,90.00,0,0
153955,0,-9.36,25.49,90.00,0,0
155561,0,-10.58,25.50,90.00,0,0
157190,0,-7.32,25.42,90.00,0,0
181561,0,-10.58,25.39,90.00,0,0
182823,0,-9.77,25.33,90.00,0,0
184128,0,-10.99,25.41,90.00,0,0
185455,0,-9.36,25.49,90.00,0,0
186788,0,-6.92,25.53,90.00,0,0
188804,0,-6.51,25.35,90.00,0,0
190167,0,-8.95,25.31,90.00,0,0
191524,0,-7.73,25.42,90.00,0,0
200369,0,1.22,25.34,90.00,0,0
201593,0,0.00,25.43,90.00,0,0
202861,0,-5.70,25.45,90.00,0,0
204150,0,-10.58,25.37,90.00,0,0
205452,0,-3.66,25.54,90.00,0,0
206767,0,-1.22,25.53,90.00,0,0
208098,0,-1.63,25.58,90.00,0,0
209437,0,-7.32,25.58,90.00,0,0
210789,0,-5.29,25.49,90.00,0,0
212146,0,-4.88,25.47,90.00,0,0
213543,0,-2.44,25.54,90.00,0,0
214973,0,-0.81,25.47,90.00,0,0
216409,0,-2.03,25.43,90.00,0,0
217856,0,-0.41,25.57,90.00,0,0
219319,0,-4.07,25.58,90.00,0,0
220777,0,-6.51,25.53,90.00,0,0
225186,0,-2.44,25.54,90.00,0,0
226492,0,-4.48,25.49,90.00,0,0
227832,0,-5.70,25.47,90.00,0,0
229198,0,-2.44,25.54,90.00,0,0
230581,0,-2.44,25.50,90.00,0,0
232506,0,-8.14,25.56,90.00,0,0
233910,0,0.00,25.54,90.00,0,0
235325,0,-5.70,25.62,90.00,0,0
236756,0,-5.70,25.54,90.00,0,0
238190,0,-4.07,25.45,90.00,0,0
239641,0,-0.41,25.50,90.00,0,0
241122,0,6.51,25.53,90.00,0,0
242637,0,2.44,25.43,90.00,0,0
244168,0,-4.48,25.53,90.00,0,0
245706,0,-4.88,25.60,90.00,0,0
247240,0,10.17,25.51,90.00,0,0
251727,0,-2.03,25.50,90.00,0,0
253121,0,-21.16,25.54,90.00,0,0
254539,0,-32.96,25.43,90.00,0,0
256070,0,-24.82,25.46,90.00,0,0
256862,0,-26.45,25.49,90.00,0,0
257672,0,-31.33,25.60,90.00,0,0
258483,0,-28.89,25.62,90.00,0,0
259309,0,-30.52,25.53,90.00,0,0
260150,0,-26.45,25.51,90.00,0,0
261008,0,-30.11,25.56,90.00,0,0
261873,0,-29.30,25.57,90.00,0,0
262771,0,-29.70,25.60,90.00,0,0
263693,0,-29.30,25.62,90.00,0,0
264633,0,-28.48,25.53,90.00,0,0
