system time,RPM
31803,8.14
32342,0
32867,0
33392,-12.21
33919,0
34444,12.21
34970,-8.14
35496,-20.35
36023,0
36548,0
37073,-8.14
37599,0
38124,0
38649,-12.21
39176,0
39701,-4.07
40227,0
40752,-8.14
41278,-8.14
41804,-16.28
42331,-8.14
42857,0
43382,0
43907,0
44432,0
44957,-8.14
45483,0
46008,-16.28
46535,0
47060,-8.14
47586,-16.28
48113,0
48638,-8.14
49164,0
49689,0
50214,0
50739,0
51264,0
51789,0
52314,0
52839,0
53364,-4.07
53890,-8.14
54416,-16.28
54943,0
55468,0
55993,0
56518,-8.14
57044,0
57569,0
58094,0
58619,0
59144,-16.28
59671,0
60196,-16.28
60723,0
61248,0
61773,0
62298,0
62823,0
63348,0
63873,0
64398,0
64923,0
65448,0
65973,0
66498,-8.14
67024,0
67549,0
68074,0
68599,0
69124,0
69649,-4.07
70175,-8.14
70701,0
71226,-16.28
71753,0
72278,-4.07
72804,-4.07
73330,0
73855,0
74380,-12.21
74907,0
75432,0
75957,8.14
76482,0
77007,0
77532,0
78057,0
78582,0
79107,0
79632,0
80157,0
80682,0
81207,0
81732,0
82257,0
82782,-8.14
83308,-16.28
83835,0
84360,0
84885,-16.28
85412,0
85937,0
86462,0
86987,-8.14
87513,-8.14
88039,0
88564,-32.55
89091,0
89616,20.35
90142,4.07
90667,0
91192,0
91717,0
92242,-12.21
92769,0
93294,0
93819,0
94344,8.14
94869,0
95394,0
95919,0
96444,-8.14
96970,8.14
97495,-16.28
98022,0
98547,0
99072,0
99597,-16.28
100124,-8.14
100651,0
101177,-24.41
101705,0
102231,0
102757,0
103283,0
103809,-8.14
104336,0
104862,-8.14
105389,8.14
105915,0
106441,0
106967,0
107493,-8.14
108020,0
108546,-20.35
109074,-8.14
109601,0
110127,0
110653,0
111179,0
111705,12.21
112232,0
112758,8.14
113284,0
113810,-8.14
114337,-8.14
114864,-16.28
115392,-20.35
115920,-20.35
116448,0
116974,0
117500,0
118026,-20.35
118554,0
119080,0
119606,-8.14
120133,0
120659,0
121185,-12.21
121713,0
122239,-12.21
122767,0
123293,0
123819,0
124345,0
124871,0
125397,0
125923,0
126449,0
126975,-4.07
127502,-4.07
128029,0
128555,0
129081,-16.28
129609,-16.28
130137,0
130663,0
131189,-36.62
131717,-81.38
132245,-85.45
132773,-65.1
133301,-56.97
133829,-40.69
134357,-24.41
134885,-16.28
135413,-32.55
135941,0
136467,0
136993,0
137519,0
138045,0
138571,0
139097,0
139623,0
140149,4.07
140675,65.1
141202,52.9
141729,44.76
142256,32.55
142783,24.41
143310,12.21
143837,0
144363,16.28
144890,0
145416,0
145942,-4.07
146469,0
146995,0
147521,0
148047,0
148573,-20.35
149101,0
149627,0
150153,-4.07
150680,-8.14
151207,0
151733,-20.35
152261,12.21
152788,0
153314,12.21
153841,-12.21
154369,0
154895,0
155421,0
155947,0
156473,-8.14
157000,8.14
157526,0
158052,0
158578,0
159104,-32.55
159632,-8.14
160159,-12.21
160687,0
161213,8.14
161739,0
162265,0
162791,-12.21
163319,-8.14
163846,0
164372,-12.21
164900,-4.07
165427,0
165953,0
166479,0
167005,0
167531,-4.07
168058,0
168584,-4.07
169111,-8.14
169638,12.21
170165,-16.28
170693,-28.48
171221,0
171747,0
172273,0
172799,0
173325,-4.07
173852,0
174378,-16.28
174906,8.14
175432,0
175958,-12.21
176486,0
177012,0
177538,0
178064,-8.14
178591,-8.14
179118,0
179644,0
180170,0
180696,-8.14
181223,0
181749,0
182275,0
182801,0
183327,0
183853,0
184379,-8.14
184906,-4.07
185433,-16.28
185961,16.28
186488,-20.35
187016,0
187542,0
188068,-8.14
188595,0
189121,-16.28
189649,-16.28
190177,0
190703,0
191229,-4.07
191756,0
192282,-4.07
192809,0
193335,-12.21
193863,0
194389,0
194915,0
195441,0
195967,-28.48
196495,8.14
197021,12.21
197548,0
198074,0
198600,0
199126,-16.28
199654,-244.14
200183,-244.14
200712,-244.14
201241,-248.21
201770,-260.42
202299,-240.07
202828,-244.14
203357,-227.86
203886,-244.14
204415,-252.28
204944,-227.86
205473,-252.28
206002,-244.14
206531,-244.14
207060,-248.21
207589,-231.93
208118,-240.07
208647,-252.28
209176,-227.86
209705,-244.14
210234,-260.42
210763,-240.07
211292,-244.14
211821,-248.21
212350,-248.21
212879,-244.14
213408,-244.14
213937,-256.35
214466,-244.14
214995,-240.07
215524,-244.14
216053,-244.14
216582,-227.86
217111,-231.93
217640,-244.14
218169,-248.21
218698,-219.73
219227,-244.14
219756,0
220282,-8.14
220809,0
221335,0
221861,0
222387,-8.14
222914,0
223440,0
223966,-16.28
224494,0
225020,0
225546,-12.21
226074,0
226600,8.14
227126,0
227652,0
228178,0
228704,0
229230,0
229756,0
230282,0
230808,0
231334,-16.28
231862,0
232388,0
232914,-8.14
233441,-8.14
233968,-390.62
234497,-390.62
235026,-382.49
235555,-406.9
236084,-378.42
236613,-398.76
237142,-410.97
237671,-390.62
238200,-390.62
238729,-390.62
239258,-402.83
239787,-390.62
240316,-410.97
240845,-419.11
241374,-406.9
241903,-390.62
242432,-406.9
242961,-378.42
243490,-398.76
244019,-398.76
244548,-410.97
245077,-390.62
245606,-402.83
246135,-402.83
246664,-410.97
247193,-406.9
247722,-390.62
248251,-390.62
248780,-398.76
249309,-406.9
249838,-252.28
250367,0
250893,0
251419,12.21
251946,0
252472,0
252998,-8.14
253525,0
254051,0
254577,-4.07
255104,-16.28
255632,0
256158,-16.28
256686,0
257212,0
257738,12.21
258265,0
258791,-8.14
259318,0
259844,0
260370,0
260896,-32.55
261424,-594.08
261953,-573.73
262482,-602.21
263011,-573.73
263540,-585.94
264069,-610.35
264598,-594.08
265127,-602.21
265656,-585.94
266185,-585.94
266714,-606.28
267243,-602.21
267772,-606.28
268301,-610.35
268830,-585.94
269359,-585.94
269888,-585.94
270417,-585.94
270946,-569.66
271475,-590.01
272004,-594.08
272533,-602.21
273062,-594.08
273591,-602.21
274120,-577.8
274649,-594.08
275178,-606.28
275707,-598.14
276236,-602.21
276765,-598.14
277294,-585.94
277823,-594.08
278352,-594.08
278881,-585.94
279410,-585.94
279939,-598.14
280468,-594.08
280997,-585.94
281526,-590.01
282055,-569.66
282584,-598.14
283113,-610.35
283642,-594.08
284171,-585.94
284700,-598.14
285229,-598.14
285758,-594.08
286287,-585.94
286816,-585.94
287345,-585.94
287874,-610.35
288403,-565.59
288932,-585.94
289461,-590.01
289990,-598.14
290519,-602.21
291048,-585.94
291577,-569.66
292106,-594.08
292635,-585.94
293164,-598.14
293693,-602.21
294222,-606.28
294751,-606.28
295280,-594.08
295809,-585.94
296338,-577.8
296867,-585.94
297396,-598.14
297925,-594.08
298454,-585.94
298983,-598.14
299512,-569.66
300041,-585.94
300570,-594.08
301099,-614.42
301628,-366.21
302157,-65.1
302685,0
303211,0
303737,8.14
304263,0
304789,0
305315,0
305841,0
306367,0
306893,0
307419,-4.07
307946,0
308472,0
308998,16.28
309525,0
310051,0
310577,0
311103,-28.48
311631,-8.14
312158,0
312684,0
313210,0
313736,-8.14
314263,0
