Time (ms),Sinusoid
0,0.000000
2,0.019631
5,0.019626
7,0.019621
10,0.019610
12,0.019595
15,0.019576
17,0.019554
20,0.019527
22,0.019496
25,0.019461
27,0.019423
30,0.019381
32,0.019334
35,0.019284
37,0.019230
40,0.019173
42,0.019111
45,0.019046
47,0.018976
50,0.018903
52,0.018827
55,0.018746
57,0.018662
60,0.018574
62,0.018483
65,0.018387
67,0.018289
70,0.018186
72,0.018080
75,0.017970
77,0.017857
80,0.017741
82,0.017620
85,0.017497
87,0.017370
90,0.017240
92,0.017106
95,0.016969
97,0.016829
100,0.016685
102,0.016538
105,0.016388
107,0.016235
110,0.016079
112,0.015920
115,0.015757
117,0.015592
120,0.015424
122,0.015252
125,0.015078
127,0.014901
130,0.014722
132,0.014539
135,0.014354
137,0.014166
140,0.013976
142,0.013783
145,0.013588
147,0.013390
150,0.013190
152,0.012987
155,0.012782
157,0.012575
160,0.012365
162,0.012153
165,0.011940
167,0.011724
170,0.011506
172,0.011286
175,0.011064
177,0.010841
180,0.010615
182,0.010388
185,0.010159
187,0.009929
190,0.009697
192,0.009463
195,0.009228
197,0.008992
200,0.008754
202,0.008515
205,0.008275
207,0.008033
210,0.007791
212,0.007547
215,0.007302
217,0.007057
220,0.006810
222,0.006563
225,0.006315
227,0.006066
230,0.005817
232,0.005567
235,0.005316
237,0.005065
240,0.004814
242,0.004562
245,0.004310
247,0.004058
250,0.003806
252,0.003553
255,0.003301
257,0.003048
260,0.002796
262,0.002544
265,0.002292
267,0.002040
270,0.001788
272,0.001537
275,0.001287
277,0.001037
280,0.000787
282,0.000538
285,0.000290
287,0.000043
290,-0.000204
292,-0.000450
295,-0.000694
297,-0.000938
300,-0.001181
302,-0.001423
305,-0.001663
307,-0.001902
310,-0.002141
312,-0.002377
315,-0.002612
317,-0.002846
320,-0.003079
322,-0.003309
325,-0.003539
327,-0.003766
330,-0.003992
332,-0.004216
335,-0.004438
337,-0.004658
340,-0.004876
342,-0.005093
345,-0.005307
347,-0.005519
350,-0.005729
352,-0.005937
355,-0.006143
357,-0.006346
360,-0.006547
362,-0.006746
365,-0.006942
367,-0.007136
370,-0.007327
372,-0.007515
375,-0.007701
377,-0.007885
380,-0.008065
382,-0.008243
385,-0.008418
387,-0.008590
390,-0.008760
392,-0.008926
395,-0.009090
397,-0.009250
400,-0.009408
402,-0.009562
405,-0.009713
407,-0.009862
410,-0.010007
412,-0.010148
415,-0.010287
417,-0.010422
420,-0.010554
422,-0.010683
425,-0.010808
427,-0.010930
430,-0.011049
432,-0.011164
435,-0.011276
437,-0.011384
440,-0.011488
442,-0.011589
445,-0.011687
447,-0.011781
450,-0.011871
452,-0.011958
455,-0.012041
457,-0.012120
460,-0.012196
462,-0.012268
465,-0.012336
467,-0.012401
470,-0.012462
472,-0.012519
475,-0.012572
477,-0.012622
480,-0.012667
482,-0.012709
485,-0.012748
487,-0.012782
490,-0.012812
492,-0.012839
495,-0.012862
497,-0.012881
500,-0.012896
502,-0.012908
505,-0.012915
507,-0.012919
510,-0.012919
512,-0.012915
515,-0.012907
517,-0.012896
520,-0.012880
522,-0.012861
525,-0.012838
527,-0.012811
530,-0.012781
532,-0.012746
535,-0.012708
537,-0.012666
540,-0.012621
542,-0.012571
545,-0.012518
547,-0.012462
550,-0.012401
552,-0.012337
555,-0.012270
557,-0.012198
560,-0.012123
562,-0.012045
565,-0.011963
567,-0.011877
570,-0.011788
572,-0.011696
575,-0.011600
577,-0.011500
580,-0.011397
582,-0.011291
585,-0.011182
587,-0.011069
590,-0.010952
592,-0.010833
595,-0.010710
597,-0.010584
600,-0.010455
602,-0.010323
605,-0.010188
607,-0.010050
610,-0.009909
612,-0.009764
615,-0.009617
617,-0.009467
620,-0.009314
622,-0.009158
625,-0.009000
627,-0.008838
630,-0.008674
632,-0.008508
635,-0.008339
637,-0.008167
640,-0.007992
642,-0.007816
645,-0.007637
647,-0.007455
650,-0.007271
652,-0.007085
655,-0.006897
657,-0.006706
660,-0.006513
662,-0.006318
665,-0.006122
667,-0.005923
670,-0.005722
672,-0.005520
675,-0.005315
677,-0.005109
680,-0.004901
682,-0.004692
685,-0.004480
687,-0.004268
690,-0.004054
692,-0.003838
695,-0.003621
697,-0.003403
700,-0.003183
702,-0.002962
705,-0.002741
707,-0.002518
710,-0.002293
712,-0.002068
715,-0.001843
717,-0.001616
720,-0.001388
722,-0.001160
725,-0.000931
727,-0.000701
730,-0.000471
732,-0.000240
735,-0.000009
737,0.000222
740,0.000454
742,0.000686
745,0.000918
747,0.001151
750,0.001383
752,0.001616
755,0.001848
757,0.002081
760,0.002313
762,0.002545
765,0.002777
767,0.003008
770,0.003239
772,0.003469
775,0.003699
777,0.003929
780,0.004157
782,0.004385
785,0.004612
787,0.004839
790,0.005064
792,0.005289
795,0.005512
797,0.005735
800,0.005956
802,0.006176
805,0.006395
807,0.006613
810,0.006829
812,0.007044
815,0.007258
817,0.007470
820,0.007680
822,0.007889
825,0.008096
827,0.008301
830,0.008504
832,0.008706
835,0.008906
